shipment_id,order_id,ship_date,carrier,status
SHP-0101-000046-0,ORD-0101-00038,2026-07-13 10:16:07,FedEx,delivered
SHP-0101-000047-0,ORD-0101-00039,2026-07-15 18:09:18,DHL,shipped
SHP-0101-000048-0,ORD-0101-00040,2026-07-04 06:06:50,USPS,delivered
SHP-0101-000050-0,ORD-0101-00042,2026-07-09 23:08:40,FedEx,delivered
SHP-0101-000051-0,ORD-0101-00043,2026-07-15 12:26:31,UPS,delivered
SHP-0101-000052-0,ORD-0101-00044,2026-07-10 17:35:14,FedEx,shipped
SHP-0101-000054-0,ORD-0101-00046,2026-07-23 15:28:01,DHL,shipped
SHP-0101-000055-0,ORD-0101-00047,2026-07-26 07:55:02,UPS,shipped
SHP-0101-000056-0,ORD-0101-00048,2026-07-04 04:33:45,USPS,delivered
SHP-0101-000057-0,ORD-0101-00050,2026-07-14 18:34:22,UPS,delivered
SHP-0101-000059-0,ORD-0101-00052,2026-07-09 13:18:18,UPS,delivered
SHP-0101-000060-0,ORD-0101-00053,2026-07-04 01:01:19,USPS,shipped
SHP-0101-000062-0,ORD-0101-00055,2026-07-11 08:17:33,UPS,shipped
SHP-0101-000063-0,ORD-0101-00056,2026-07-23 02:15:34,UPS,shipped
SHP-0101-000064-0,ORD-0101-00057,2026-07-29 06:36:50,DHL,delivered
SHP-0101-000067-0,ORD-0101-00060,2026-07-23 11:11:10,FedEx,shipped
SHP-0101-000069-0,ORD-0101-00062,2026-07-18 21:08:00,USPS,shipped
SHP-0101-000071-0,ORD-0101-00064,2026-07-23 17:44:06,FedEx,delivered
SHP-0101-000072-0,ORD-0101-00065,2026-07-27 10:54:55,USPS,delivered
SHP-0101-000073-0,ORD-0101-00066,2026-07-17 09:12:24,USPS,shipped
SHP-0101-000074-0,ORD-0101-00067,2026-07-19 22:32:55,USPS,shipped
SHP-0101-000075-0,ORD-0101-00068,2026-07-28 05:18:51,DHL,delivered
SHP-0101-000076-0,ORD-0101-00069,2026-07-19 19:54:40,USPS,shipped
SHP-0101-000078-0,ORD-0101-00070,2026-07-18 10:24:36,DHL,shipped
SHP-0101-000079-0,ORD-0101-00071,2026-07-30 10:03:39,USPS,delivered
SHP-0101-000080-0,ORD-0101-00072,2026-07-21 20:27:54,UPS,delivered
SHP-0101-000082-0,ORD-0101-00073,2026-07-15 14:45:31,DHL,delivered
SHP-0101-000083-0,ORD-0101-00074,2026-07-22 11:42:04,DHL,shipped
SHP-0101-000084-0,ORD-0101-00075,2026-07-16 14:15:49,DHL,delivered
SHP-0101-000085-0,ORD-0101-00076,2026-07-22 07:23:43,DHL,shipped
SHP-0101-000086-0,ORD-0101-00077,2026-07-22 21:04:47,USPS,delivered
SHP-0101-000087-0,ORD-0101-00078,2026-07-08 10:48:02,DHL,delivered
SHP-0101-000088-0,ORD-0101-00079,2026-07-13 04:48:27,FedEx,shipped
SHP-0101-000088-1,ORD-0101-00079,2026-07-13 04:48:27,DHL,delivered
SHP-0101-000089-0,ORD-0101-00080,2026-07-17 18:51:22,DHL,delivered
SHP-0101-000090-0,ORD-0101-00081,2026-07-16 21:53:22,USPS,shipped
SHP-0101-000091-0,ORD-0101-00082,2026-07-20 19:59:03,USPS,delivered
SHP-0101-000092-0,ORD-0101-00083,2026-07-18 17:49:25,UPS,delivered
SHP-0101-000092-1,ORD-0101-00083,2026-07-18 17:49:25,FedEx,shipped
SHP-0101-000093-0,ORD-0101-00084,2026-07-04 03:09:41,UPS,delivered
SHP-0101-000098-0,ORD-0101-00088,2026-07-22 00:06:49,USPS,delivered
SHP-0101-000099-0,ORD-0101-00089,2026-07-15 17:43:58,UPS,shipped
SHP-0101-000100-0,ORD-0101-00090,2026-07-10 02:38:43,USPS,delivered
SHP-0101-000101-0,ORD-0101-00091,2026-07-09 16:29:51,UPS,delivered
SHP-0101-000102-0,ORD-0101-00092,2026-07-30 08:02:50,USPS,shipped
SHP-0101-000103-0,ORD-0101-00093,2026-07-15 20:13:34,FedEx,delivered
SHP-0101-000104-0,ORD-0101-00094,2026-07-09 21:14:19,UPS,shipped
SHP-0101-000104-1,ORD-0101-00094,2026-07-09 21:14:19,DHL,shipped
SHP-0101-000105-0,ORD-0101-00095,2026-07-23 20:32:42,USPS,delivered
SHP-0101-000107-0,ORD-0101-00096,2026-07-22 02:53:34,DHL,shipped
SHP-0101-000109-0,ORD-0101-00097,2026-07-26 10:59:26,USPS,delivered
SHP-0101-000110-0,ORD-0101-00098,2026-07-28 05:56:31,FedEx,shipped
SHP-0101-000111-0,ORD-0101-00099,2026-07-03 03:37:27,FedEx,delivered
SHP-0101-000111-1,ORD-0101-00099,2026-07-03 03:37:27,UPS,delivered
SHP-0101-000112-0,ORD-0101-00100,2026-07-13 16:42:53,FedEx,shipped
SHP-0101-000113-0,ORD-0101-00101,2026-07-15 10:04:34,USPS,shipped
SHP-0101-000114-0,ORD-0101-00102,2026-07-05 21:44:56,USPS,shipped
SHP-0101-000115-0,ORD-0101-00103,2026-07-12 17:52:23,UPS,shipped
SHP-0101-000116-0,ORD-0101-00104,2026-07-18 23:41:54,UPS,shipped
SHP-0101-000118-0,ORD-0101-00105,2026-07-24 18:47:56,USPS,delivered
SHP-0101-000119-0,ORD-0101-00106,2026-07-16 13:08:40,FedEx,delivered
SHP-0101-000121-0,ORD-0101-00107,2026-07-14 11:49:51,FedEx,delivered
SHP-0101-000122-0,ORD-0101-00108,2026-07-27 10:00:08,USPS,shipped
SHP-0101-000122-1,ORD-0101-00108,2026-07-27 10:00:08,DHL,shipped
SHP-0101-000124-0,ORD-0101-00110,2026-07-12 09:45:08,DHL,shipped
SHP-0101-000125-0,ORD-0101-00112,2026-07-04 14:11:18,UPS,shipped
SHP-0101-000126-0,ORD-0101-00114,2026-07-17 13:26:46,FedEx,delivered
SHP-0101-000127-0,ORD-0101-00115,2026-07-14 20:18:12,UPS,delivered
SHP-0101-000128-0,ORD-0101-00116,2026-07-11 16:34:49,USPS,delivered
SHP-0101-000128-1,ORD-0101-00116,2026-07-11 16:34:49,FedEx,shipped
SHP-0101-000130-0,ORD-0101-00117,2026-07-06 05:52:12,FedEx,delivered
SHP-0101-000132-0,ORD-0101-00119,2026-07-17 00:09:41,FedEx,delivered
SHP-0101-000133-0,ORD-0101-00120,2026-07-10 02:16:21,UPS,shipped
SHP-0101-000135-0,ORD-0101-00121,2026-07-20 02:42:20,DHL,delivered
SHP-0101-000136-0,ORD-0101-00122,2026-07-23 13:28:59,USPS,shipped
SHP-0101-000138-0,ORD-0101-00124,2026-07-16 22:44:21,FedEx,delivered
SHP-0101-000139-0,ORD-0101-00125,2026-07-04 10:31:56,FedEx,shipped
SHP-0101-000140-0,ORD-0101-00126,2026-07-04 05:21:22,UPS,shipped
SHP-0101-000141-0,ORD-0101-00127,2026-07-21 02:53:42,USPS,delivered
SHP-0101-000142-0,ORD-0101-00128,2026-07-13 09:29:30,USPS,delivered
SHP-0101-000144-0,ORD-0101-00130,2026-07-28 00:49:26,USPS,shipped
SHP-0101-000145-0,ORD-0101-00131,2026-07-09 11:31:42,USPS,shipped
SHP-0101-000146-0,ORD-0101-00132,2026-07-03 04:53:11,FedEx,delivered
SHP-0101-000147-0,ORD-0101-00133,2026-07-14 04:18:55,DHL,shipped
SHP-0101-000148-0,ORD-0101-00134,2026-07-15 09:09:14,DHL,shipped
SHP-0101-000149-0,ORD-0101-00135,2026-07-15 14:17:22,FedEx,shipped
SHP-0101-000150-0,ORD-0101-00136,2026-07-08 14:08:23,USPS,delivered
SHP-0101-000151-0,ORD-0101-00137,2026-07-05 08:03:19,DHL,shipped
SHP-0101-000152-0,ORD-0101-00139,2026-07-20 22:20:26,FedEx,delivered
SHP-0101-000153-0,ORD-0101-00140,2026-07-26 21:23:45,FedEx,delivered
SHP-0101-000153-1,ORD-0101-00140,2026-07-26 21:23:45,USPS,shipped
SHP-0101-000154-0,ORD-0101-00141,2026-07-30 15:12:31,UPS,delivered
SHP-0101-000155-0,ORD-0101-00142,2026-07-17 06:12:36,UPS,delivered
SHP-0101-000156-0,ORD-0101-00143,2026-07-10 04:49:22,UPS,delivered
SHP-0101-000158-0,ORD-0101-00144,2026-07-23 20:43:06,USPS,shipped
SHP-0101-000159-0,ORD-0101-00145,2026-07-14 14:25:05,USPS,shipped
SHP-0101-000160-0,ORD-0101-00146,2026-07-29 18:02:53,UPS,delivered
SHP-0101-000161-0,ORD-0101-00147,2026-07-16 15:31:36,DHL,shipped
SHP-0101-000162-0,ORD-0101-00148,2026-07-24 19:54:59,DHL,shipped
SHP-0101-000163-0,ORD-0101-00149,2026-07-06 18:47:16,FedEx,delivered
SHP-0101-000164-0,ORD-0101-00150,2026-07-22 04:19:21,USPS,shipped
SHP-0101-000165-0,ORD-0101-00151,2026-07-21 13:12:16,DHL,delivered
SHP-0101-000166-0,ORD-0101-00152,2026-07-20 21:44:35,UPS,shipped
SHP-0101-000168-0,ORD-0101-00153,2026-07-27 10:14:29,UPS,delivered
SHP-0101-000168-1,ORD-0101-00153,2026-07-27 10:14:29,DHL,delivered
SHP-0101-000169-0,ORD-0101-00154,2026-07-16 14:03:35,FedEx,shipped
SHP-0101-000170-0,ORD-0101-00155,2026-07-03 12:31:59,DHL,delivered
SHP-0101-000171-0,ORD-0101-00156,2026-07-10 17:03:26,UPS,shipped
SHP-0101-000172-0,ORD-0101-00157,2026-07-27 09:06:05,UPS,shipped
SHP-0101-000173-0,ORD-0101-00158,2026-07-18 03:02:24,UPS,delivered
SHP-0101-000174-0,ORD-0101-00159,2026-07-18 05:40:47,FedEx,delivered
SHP-0101-000175-0,ORD-0101-00160,2026-07-26 01:17:39,USPS,delivered
SHP-0101-000176-0,ORD-0101-00161,2026-07-05 22:01:11,USPS,shipped
SHP-0101-000177-0,ORD-0101-00162,2026-07-29 12:58:44,DHL,delivered
SHP-0101-000178-0,ORD-0101-00163,2026-07-23 20:56:05,DHL,shipped
SHP-0101-000180-0,ORD-0101-00166,2026-07-19 09:51:20,USPS,delivered
SHP-0101-000182-0,ORD-0101-00168,2026-07-25 01:22:29,USPS,shipped
SHP-0101-000183-0,ORD-0101-00169,2026-07-24 17:20:32,DHL,delivered
SHP-0101-000185-0,ORD-0101-00171,2026-07-07 20:38:19,USPS,delivered
SHP-0101-000187-0,ORD-0101-00173,2026-07-15 11:06:01,FedEx,delivered
SHP-0101-000188-0,ORD-0101-00174,2026-07-13 19:08:07,USPS,delivered
SHP-0101-000189-0,ORD-0101-00175,2026-07-22 19:49:21,USPS,shipped
SHP-0101-000190-0,ORD-0101-00176,2026-07-18 12:51:04,DHL,delivered
SHP-0101-000191-0,ORD-0101-00177,2026-07-26 19:35:28,FedEx,delivered
SHP-0101-000192-0,ORD-0101-00178,2026-07-11 17:53:03,UPS,shipped
SHP-0101-000193-0,ORD-0101-00179,2026-07-16 02:34:48,USPS,shipped
SHP-0101-000194-0,ORD-0101-00180,2026-07-19 05:32:46,UPS,shipped
SHP-0101-000195-0,ORD-0101-00181,2026-07-02 05:01:11,DHL,delivered
SHP-0101-000196-0,ORD-0101-00182,2026-07-04 11:58:11,UPS,shipped
SHP-0101-000197-0,ORD-0101-00183,2026-07-06 14:22:26,USPS,shipped
SHP-0101-000198-0,ORD-0101-00184,2026-07-17 09:03:00,USPS,delivered
SHP-0101-000199-0,ORD-0101-00185,2026-07-08 06:18:16,USPS,shipped
SHP-0101-000200-0,ORD-0101-00186,2026-07-02 13:34:56,DHL,shipped
SHP-0101-000201-0,ORD-0101-00187,2026-07-29 03:05:00,DHL,shipped
SHP-0101-000202-0,ORD-0101-00188,2026-07-19 03:52:58,UPS,shipped
SHP-0101-000203-0,ORD-0101-00189,2026-07-19 20:51:18,USPS,shipped
SHP-0101-000204-0,ORD-0101-00190,2026-07-27 18:19:11,DHL,shipped
SHP-0101-000205-0,ORD-0101-00191,2026-07-26 17:57:54,USPS,delivered
SHP-0101-000207-0,ORD-0101-00194,2026-07-24 19:18:59,UPS,delivered
SHP-0101-000208-0,ORD-0101-00195,2026-07-07 12:55:12,DHL,delivered
SHP-0101-000208-1,ORD-0101-00195,2026-07-07 12:55:12,USPS,delivered
SHP-0101-000210-0,ORD-0101-00196,2026-07-05 04:27:18,FedEx,shipped
SHP-0101-000211-0,ORD-0101-00197,2026-07-05 21:55:23,USPS,shipped
SHP-0101-000212-0,ORD-0101-00198,2026-07-11 17:50:49,FedEx,delivered
SHP-0101-000212-1,ORD-0101-00198,2026-07-11 17:50:49,UPS,shipped
SHP-0101-000214-0,ORD-0101-00200,2026-07-30 09:34:17,FedEx,shipped
SHP-0101-000217-0,ORD-0101-00202,2026-07-25 03:31:58,USPS,delivered
SHP-0101-000218-0,ORD-0101-00203,2026-07-20 03:40:32,UPS,shipped
SHP-0101-000219-0,ORD-0101-00204,2026-07-29 11:51:13,UPS,delivered
SHP-0101-000219-1,ORD-0101-00204,2026-07-29 11:51:13,UPS,shipped
SHP-0101-000221-0,ORD-0101-00205,2026-07-14 20:34:08,USPS,shipped
SHP-0101-000222-0,ORD-0101-00206,2026-07-11 10:48:34,UPS,shipped
SHP-0101-000223-0,ORD-0101-00207,2026-07-10 17:06:14,UPS,shipped
SHP-0101-000225-0,ORD-0101-00209,2026-07-10 07:40:43,FedEx,delivered
SHP-0101-000226-0,ORD-0101-00210,2026-07-24 18:24:16,UPS,delivered
SHP-0101-000227-0,ORD-0101-00211,2026-07-18 13:38:55,DHL,delivered
SHP-0101-000229-0,ORD-0101-00212,2026-07-06 08:31:02,UPS,shipped
SHP-0101-000230-0,ORD-0101-00213,2026-07-19 00:35:54,DHL,shipped
SHP-0101-000231-0,ORD-0101-00214,2026-07-21 12:17:56,FedEx,delivered
SHP-0101-000232-0,ORD-0101-00215,2026-07-07 03:38:24,DHL,shipped
SHP-0101-000233-0,ORD-0101-00216,2026-07-18 23:07:58,DHL,shipped
SHP-0101-000233-1,ORD-0101-00216,2026-07-18 23:07:58,FedEx,delivered
SHP-0101-000234-0,ORD-0101-00217,2026-07-14 07:16:51,FedEx,shipped
SHP-0101-000235-0,ORD-0101-00218,2026-07-31 15:59:25,DHL,delivered
SHP-0101-000236-0,ORD-0101-00219,2026-07-24 04:27:30,FedEx,shipped
SHP-0101-000238-0,ORD-0101-00221,2026-07-15 05:53:35,USPS,delivered
SHP-0101-000239-0,ORD-0101-00222,2026-07-23 22:20:43,USPS,delivered
SHP-0101-000240-0,ORD-0101-00223,2026-07-25 16:19:26,UPS,shipped
SHP-0101-000241-0,ORD-0101-00224,2026-07-28 17:33:06,DHL,delivered
SHP-0101-000242-0,ORD-0101-00225,2026-07-22 09:16:20,FedEx,shipped
SHP-0101-000243-0,ORD-0101-00226,2026-07-04 08:12:50,UPS,delivered
SHP-0101-000244-0,ORD-0101-00227,2026-07-11 23:09:44,FedEx,shipped
SHP-0101-000245-0,ORD-0101-00229,2026-07-13 20:34:23,FedEx,delivered
SHP-0101-000246-0,ORD-0101-00230,2026-07-12 19:09:52,DHL,shipped
SHP-0101-000247-0,ORD-0101-00232,2026-07-27 10:39:47,FedEx,shipped
SHP-0101-000248-0,ORD-0101-00233,2026-07-19 02:07:00,FedEx,delivered
SHP-0101-000249-0,ORD-0101-00234,2026-07-16 10:30:00,USPS,shipped
SHP-0101-000250-0,ORD-0101-00235,2026-07-12 16:12:37,DHL,shipped
SHP-0101-000251-0,ORD-0101-00236,2026-07-22 07:16:34,FedEx,delivered
SHP-0101-000251-1,ORD-0101-00236,2026-07-22 07:16:34,DHL,delivered
SHP-0101-000252-0,ORD-0101-00237,2026-07-06 14:57:53,UPS,delivered
SHP-0101-000253-0,ORD-0101-00238,2026-07-02 04:49:42,USPS,shipped
SHP-0101-000254-0,ORD-0101-00239,2026-07-18 09:13:41,DHL,delivered
SHP-0101-000255-0,ORD-0101-00240,2026-07-11 08:51:30,USPS,delivered
SHP-0101-000257-0,ORD-0101-00242,2026-07-24 22:26:59,FedEx,shipped
SHP-0101-000258-0,ORD-0101-00243,2026-07-14 02:10:04,USPS,shipped
SHP-0101-000259-0,ORD-0101-00244,2026-07-25 04:36:39,UPS,delivered
SHP-0101-000260-0,ORD-0101-00245,2026-07-12 21:04:44,USPS,delivered
SHP-0101-000261-0,ORD-0101-00246,2026-07-10 03:59:19,DHL,shipped
SHP-0101-000262-0,ORD-0101-00247,2026-07-08 04:55:50,USPS,delivered
SHP-0101-000265-0,ORD-0101-00250,2026-07-06 03:15:49,DHL,delivered
SHP-0101-000265-1,ORD-0101-00250,2026-07-06 03:15:49,UPS,delivered
SHP-0101-000266-0,ORD-0101-00251,2026-07-26 09:16:12,USPS,shipped
SHP-0101-000267-0,ORD-0101-00252,2026-07-20 02:05:40,FedEx,shipped
SHP-0101-000268-0,ORD-0101-00253,2026-07-25 02:09:04,UPS,shipped
SHP-0101-000269-0,ORD-0101-00254,2026-07-15 19:31:22,USPS,delivered
SHP-0101-000270-0,ORD-0101-00255,2026-07-18 09:37:52,DHL,shipped
SHP-0101-000271-0,ORD-0101-00256,2026-07-22 03:33:10,USPS,shipped
SHP-0101-000273-0,ORD-0101-00258,2026-07-05 16:37:46,UPS,delivered
SHP-0101-000275-0,ORD-0101-00261,2026-07-29 13:55:13,USPS,shipped
SHP-0101-000276-0,ORD-0101-00263,2026-07-26 09:58:00,DHL,shipped
SHP-0101-000277-0,ORD-0101-00265,2026-07-25 11:40:38,DHL,delivered
SHP-0101-000278-0,ORD-0101-00266,2026-07-19 02:18:02,DHL,delivered
SHP-0101-000279-0,ORD-0101-00267,2026-07-13 17:54:08,USPS,shipped
SHP-0101-000280-0,ORD-0101-00268,2026-07-05 16:50:52,DHL,shipped
SHP-0101-000281-0,ORD-0101-00269,2026-07-11 12:30:53,DHL,shipped
SHP-0101-000282-0,ORD-0101-00270,2026-07-29 03:35:05,USPS,delivered
SHP-0101-000283-0,ORD-0101-00271,2026-07-23 14:25:04,USPS,shipped
SHP-0101-000283-1,ORD-0101-00271,2026-07-23 14:25:04,DHL,delivered
SHP-0101-000285-0,ORD-0101-00272,2026-07-29 12:54:08,FedEx,shipped
SHP-0101-000286-0,ORD-0101-00273,2026-07-07 14:44:57,FedEx,delivered
SHP-0101-000288-0,ORD-0101-00275,2026-07-25 21:30:21,UPS,shipped
SHP-0101-000289-0,ORD-0101-00276,2026-07-09 03:11:14,UPS,shipped
SHP-0101-000290-0,ORD-0101-00277,2026-07-08 15:41:47,FedEx,delivered
SHP-0101-000290-1,ORD-0101-00277,2026-07-08 15:41:47,FedEx,shipped
SHP-0101-000291-0,ORD-0101-00278,2026-07-29 05:27:14,USPS,delivered
SHP-0101-000292-0,ORD-0101-00279,2026-07-13 09:25:21,USPS,shipped
SHP-0101-000293-0,ORD-0101-00280,2026-07-08 02:55:31,USPS,delivered
SHP-0101-000294-0,ORD-0101-00281,2026-07-26 13:44:59,USPS,shipped
SHP-0101-000295-0,ORD-0101-00282,2026-07-18 22:19:29,UPS,shipped
SHP-0101-000296-0,ORD-0101-00283,2026-07-25 03:27:44,UPS,shipped
SHP-0101-000297-0,ORD-0101-00284,2026-07-16 03:10:05,DHL,shipped
SHP-0101-000298-0,ORD-0101-00285,2026-07-05 17:26:19,FedEx,delivered
SHP-0101-000300-0,ORD-0101-00286,2026-07-13 00:55:06,USPS,shipped
SHP-0101-000301-0,ORD-0101-00287,2026-07-24 23:07:57,FedEx,shipped
SHP-0101-000303-0,ORD-0101-00288,2026-07-19 14:05:10,USPS,delivered
SHP-0101-000304-0,ORD-0101-00289,2026-07-15 05:02:27,USPS,delivered
SHP-0101-000305-0,ORD-0101-00290,2026-07-08 06:34:13,FedEx,delivered
SHP-0101-000307-0,ORD-0101-00291,2026-07-04 08:33:48,FedEx,shipped
SHP-0101-000309-0,ORD-0101-00293,2026-07-24 14:01:42,UPS,delivered
SHP-0101-000312-0,ORD-0101-00295,2026-07-29 05:43:17,USPS,delivered
SHP-0101-000315-0,ORD-0101-00299,2026-07-09 23:34:42,UPS,delivered
SHP-0101-000316-0,ORD-0101-00300,2026-07-08 09:38:33,DHL,delivered
SHP-0101-000316-1,ORD-0101-00300,2026-07-08 09:38:33,USPS,shipped
SHP-0101-000319-0,ORD-0101-00303,2026-07-06 03:13:04,UPS,delivered
SHP-0101-000320-0,ORD-0101-00304,2026-07-18 12:30:44,FedEx,delivered
SHP-0101-000321-0,ORD-0101-00305,2026-07-14 02:55:10,USPS,delivered
SHP-0101-000321-1,ORD-0101-00305,2026-07-14 02:55:10,FedEx,delivered
SHP-0101-000323-0,ORD-0101-00307,2026-07-21 14:51:11,FedEx,shipped
SHP-0101-000324-0,ORD-0101-00308,2026-07-03 21:17:24,FedEx,delivered
SHP-0101-000325-0,ORD-0101-00309,2026-07-04 10:24:13,UPS,delivered
SHP-0101-000326-0,ORD-0101-00310,2026-07-27 20:12:27,FedEx,delivered
SHP-0101-000327-0,ORD-0101-00311,2026-07-22 14:16:58,USPS,delivered
SHP-0101-000329-0,ORD-0101-00314,2026-07-20 11:50:21,DHL,delivered
SHP-0101-000330-0,ORD-0101-00315,2026-07-27 18:56:29,UPS,delivered
SHP-0101-000331-0,ORD-0101-00316,2026-07-07 14:12:26,FedEx,shipped
SHP-0101-000332-0,ORD-0101-00317,2026-07-07 09:57:43,USPS,shipped
SHP-0101-000333-0,ORD-0101-00318,2026-07-28 02:29:22,USPS,delivered
SHP-0101-000334-0,ORD-0101-00320,2026-07-05 14:04:10,USPS,delivered
SHP-0101-000335-0,ORD-0101-00321,2026-07-13 15:32:54,USPS,shipped
SHP-0101-000336-0,ORD-0101-00322,2026-07-24 14:51:11,FedEx,delivered
SHP-0101-000337-0,ORD-0101-00323,2026-07-15 10:05:12,FedEx,delivered
SHP-0101-000338-0,ORD-0101-00324,2026-07-19 05:35:06,UPS,delivered
SHP-0101-000340-0,ORD-0101-00326,2026-07-26 02:59:17,USPS,delivered
SHP-0101-000340-1,ORD-0101-00326,2026-07-26 02:59:17,USPS,shipped
SHP-0101-000341-0,ORD-0101-00327,2026-07-20 13:05:02,DHL,shipped
SHP-0101-000343-0,ORD-0101-00329,2026-07-06 10:18:14,USPS,shipped
SHP-0101-000344-0,ORD-0101-00330,2026-07-21 23:39:41,DHL,delivered
SHP-0101-000345-0,ORD-0101-00331,2026-07-07 02:48:26,UPS,shipped
SHP-0101-000346-0,ORD-0101-00332,2026-07-31 06:17:26,FedEx,shipped
SHP-0101-000347-0,ORD-0101-00334,2026-07-28 15:25:37,USPS,delivered
SHP-0101-000348-0,ORD-0101-00335,2026-07-29 12:32:27,UPS,delivered
SHP-0101-000349-0,ORD-0101-00336,2026-07-25 23:49:10,USPS,shipped
SHP-0101-000350-0,ORD-0101-00337,2026-07-09 20:37:55,UPS,delivered
SHP-0101-000351-0,ORD-0101-00338,2026-07-23 23:28:23,DHL,delivered
SHP-0101-000352-0,ORD-0101-00339,2026-07-20 15:33:12,UPS,shipped
SHP-0101-000352-1,ORD-0101-00339,2026-07-20 15:33:12,USPS,delivered
SHP-0101-000354-0,ORD-0101-00341,2026-07-07 14:49:26,USPS,delivered
SHP-0101-000355-0,ORD-0101-00342,2026-07-09 04:18:13,FedEx,delivered
SHP-0101-000356-0,ORD-0101-00343,2026-07-03 09:32:05,USPS,delivered
SHP-0101-000357-0,ORD-0101-00344,2026-07-26 19:13:09,USPS,shipped
SHP-0101-000357-1,ORD-0101-00344,2026-07-26 19:13:09,DHL,shipped
SHP-0101-000358-0,ORD-0101-00345,2026-07-10 19:04:10,DHL,shipped
SHP-0101-000359-0,ORD-0101-00346,2026-07-09 15:06:49,UPS,shipped
SHP-0101-000360-0,ORD-0101-00347,2026-07-17 09:15:59,FedEx,delivered
SHP-0101-000364-0,ORD-0101-00350,2026-07-27 20:00:40,UPS,shipped
SHP-0101-000365-0,ORD-0101-00351,2026-07-23 07:20:39,USPS,shipped
SHP-0101-000366-0,ORD-0101-00352,2026-07-21 07:07:28,DHL,delivered
SHP-0101-000366-1,ORD-0101-00352,2026-07-21 07:07:28,USPS,shipped
SHP-0101-000367-0,ORD-0101-00353,2026-07-13 16:32:16,USPS,delivered
SHP-0101-000368-0,ORD-0101-00354,2026-07-04 14:33:01,UPS,delivered
SHP-0101-000368-1,ORD-0101-00354,2026-07-04 14:33:01,FedEx,delivered
SHP-0101-000369-0,ORD-0101-00355,2026-07-10 21:12:17,USPS,delivered
SHP-0101-000370-0,ORD-0101-00356,2026-07-24 09:47:54,UPS,delivered
SHP-0101-000373-0,ORD-0101-00358,2026-07-12 07:12:57,DHL,shipped
SHP-0101-000374-0,ORD-0101-00359,2026-07-17 09:34:34,DHL,delivered
